node,lon,lat
311,43.073287,-89.418146
312,43.084239,-89.428972
313,43.071433,-89.436476
314,43.048217,-89.344494
315,43.041249,-89.374256
316,43.040482,-89.289415
317,43.028376,-89.382371
318,43.040135,-89.354492
319,43.047527,-89.304243
320,43.048351,-89.339578
321,43.037177,-89.384651
322,43.048325,-89.347247
323,43.031449,-89.381327
324,43.051376,-89.291753
325,43.033793,-89.380422
326,43.032344,-89.386748
327,43.042266,-89.369518
328,43.043021,-89.286657
329,43.034965,-89.370783
330,43.035617,-89.379533
331,43.027433,-89.295357
332,43.051323,-89.298259
333,43.047197,-89.340329
334,43.026819,-89.28993
335,43.041357,-89.360731
336,43.047279,-89.34784
337,43.034739,-89.385209
338,43.047261,-89.344986
339,43.042223,-89.354269
340,43.045448,-89.290576
341,43.031971,-89.295016
342,43.041067,-89.286701
343,43.03834,-89.379721
344,43.035434,-89.374592
345,43.032893,-89.35828
346,43.049622,-89.30152
347,43.033562,-89.366368
348,43.02876,-89.291825
349,43.046945,-89.351409
350,43.03048,-89.295539
351,43.035448,-89.286805
352,43.035267,-89.294756
353,43.03329,-89.388083
354,43.036507,-89.291884
355,43.0275,-89.286011
356,43.039,-89.3948
357,43.006794,-89.391837
358,43.031337,-89.405878
359,43.006814,-89.399327
360,43.012409,-89.478724
361,43.035132,-89.433005
362,43.035612,-89.422006
363,43.021046,-89.477529
364,43.031096,-89.459121
365,42.994633,-89.512622
366,43.011622,-89.429644
367,43.024854,-89.4751
368,43.045719,-89.451351
369,43.033433,-89.456133
370,43.021914,-89.418909
371,43.02388,-89.415283
372,43.028916,-89.456105
373,43.03688,-89.40534
374,43.006839,-89.403553
375,43.004985,-89.419934
376,43.015422,-89.431853
377,43.013447,-89.48088
378,43.027058,-89.426233
379,43.030976,-89.414448
380,43.015597,-89.46782
381,43.015524,-89.439812
382,43.024035,-89.479311
