OBJECTID,PointsToLine_shape_id,PointsToLine_shape_id2,trips_routes_route_id,trips_routes_route_short_name,trips_routes_trip_headsign,trips_routes_direction_id,trips_routes_direction_name,trips_routes_shape_id,trips_routes_shape_code,trips_routes_wheelchair_accessi,trips_routes_routes_agency_id,trips_routes_routes_route_long_,trips_routes_routes_route_servi,trips_routes_routes_route_type,trips_routes_routes_route_url,trips_routes_routes_route_color,trips_routes_routes_route_text_,start_date,end_date,PK_MD_WE,ShapeSTLength
3351,59792,59792,9903,6,TO INGERSOLL: VIA TOKAY,0,East Towne,59792,6TG,1,MMT,,E TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,ED1C25,000000,20211205,20220305,001,37511.6513929537
3352,59793,59793,9903,6,E TOWNE: VIA MADISON COLLEGE,0,East Towne,59793,6QX,1,MMT,,E TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,ED1C25,000000,20211205,20220305,001,37826.9361237803
3353,59794,59794,9903,6,CAPITOL SQUARE: VIA HAYES,1,West Transfer,59794,hq6,1,MMT,,E TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,ED1C25,000000,20211205,20220305,001,46899.4693645985
3354,59796,59796,9903,6,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1,West Transfer,59796,ghm6,1,MMT,,E TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,ED1C25,000000,20211205,20220305,001,73894.0272423381
3355,59799,59799,9903,6,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1,West Transfer,59799,hm6,1,MMT,,E TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,ED1C25,000000,20211205,20220305,111,78378.253459181
3356,59804,59804,9903,6,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,1,West Transfer,59804,xt6,1,MMT,,E TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,ED1C25,000000,20211205,20220305,111,68378.9259417178
3357,59805,59805,9903,6,WEST TRANSFER: VIA TOKAY,1,West Transfer,59805,gt6,1,MMT,,E TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,ED1C25,000000,20211205,20220305,001,36378.8979711661
3358,59807,59807,9904,7,EAST TRANSFER: VIA MONROE,0,East Transfer,59807,7eM,1,MMT,,WEST TP:EAST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-7,A8C32E,000000,20211205,20220305,111,52037.4394688692
3359,59808,59808,9904,7,WEST TRANSFER: VIA MONROE,1,West Transfer,59808,7wM,1,MMT,,WEST TP:EAST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-7,A8C32E,000000,20211205,20220305,111,51839.4561814675
3360,59809,59809,9905,8,SPRING HARBOR,0,Spring Harbor,59809,8w,1,MMT,,SPRNG HB:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-8,B2DF8A,000000,20211205,20220305,111,36738.0917921841
3361,59810,59810,9905,8,SPRING HARBOR,0,Spring Harbor,59810,8pi,1,MMT,,SPRNG HB:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-8,B2DF8A,000000,20211205,20220305,001,39082.8809602771
3362,59811,59811,9905,8,CAPITOL SQUARE,1,Capitol Square,59811,8e,1,MMT,,SPRNG HB:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-8,B2DF8A,000000,20211205,20220305,111,31885.1825937127
3363,59848,59848,9907,11,U.W. CAMPUS-TO FRANCES,0,Dutch Mill,59848,11Ef,1,MMT,,DUTCH ML:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-11,749883,000000,20211205,20220305,100,36924.4407062689
3364,59849,59849,9907,11,U.W. CAMPUS-DUTCH MILL,0,Dutch Mill,59849,11E,1,MMT,,DUTCH ML:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-11,749883,000000,20211205,20220305,100,76694.1158294617
3365,59850,59850,9907,11,WEST TRANSFER,1,West Transfer,59850,f11W,1,MMT,,DUTCH ML:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-11,749883,000000,20211205,20220305,000,35891.7883290232
